exp_name,dataset,group,n_qubits,depth,reupload,entanglement,encoding_rotation,lr,epochs,optimizer,final_train_loss,final_train_loss,final_test_loss,final_test_loss,final_train_acc,final_train_acc,final_test_acc,final_test_acc,final_grad_norm,final_grad_norm,total_time_sec,total_time_sec
,,,,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
A_moons_q2_depth1_reup1_chain,moons,A_depth,2,1,1,chain,RY,0.1,120,adam,0.7137137001152957,0.0017937767071205656,0.6906095156815151,0.0025761157057404968,0.65,0.0,0.725,0.0,0.011770709041168038,0.01007439662501768,172.17030247052512,15.918035825268454
A_moons_q2_depth2_reup1_chain,moons,A_depth,2,2,1,chain,RY,0.1,120,adam,0.3869021981711427,7.036159718011004e-06,0.38819062886032424,0.00041662512627434954,0.8562499999999998,0.0,0.9,0.0,0.0028888971240537513,0.0012476314947620735,279.04790059725445,14.310241804546841
A_moons_q2_depth4_reup1_chain,moons,A_depth,2,4,1,chain,RY,0.1,120,adam,0.3744628658515781,0.000174937327789482,0.3862804473763666,0.0007312610617103146,0.8479166666666668,0.0036084391824351483,0.875,0.025000000000000022,0.001847982746419392,0.0007931504034434294,496.3055425484975,3.161367554374758
A_moons_q2_depth8_reup1_chain,moons,A_depth,2,8,1,chain,RY,0.1,120,adam,0.37432550759997646,5.041958791069854e-07,0.3856355898504651,7.716573222246712e-05,0.85,0.0,0.9,0.0,0.001514467649455786,0.00022552827234739785,949.5764255523682,1.78569136276818
B_circles_q1_depth2_reup1_chain,circles,B_reupload,1,2,1,chain,RY,0.1,120,adam,0.7857650393855765,3.5892847995688776e-07,0.7534104377172716,3.768075606261354e-05,0.7687500000000002,0.0,0.75,0.0,0.0017738951309574586,0.0002723231097032016,142.79207253456116,0.9345820392312222
B_circles_q1_depth2_reup2_chain,circles,B_reupload,1,2,2,chain,RY,0.1,120,adam,0.7178169408672894,1.2014928940558103e-06,0.6784279710372042,0.00015663121833257805,0.74375,0.0,0.75,0.0,0.0025149357631844152,0.0012521932557155212,249.71681865056357,0.3663330956585652
B_circles_q1_depth2_reup4_chain,circles,B_reupload,1,2,4,chain,RY,0.1,120,adam,0.668391021413986,0.00033464237675806454,0.675097203496725,0.001976813036265835,0.7708333333333334,0.0036084391824351483,0.775,0.0,0.0029521116771370607,0.0006633086119196191,462.48272212346393,0.902417106467608
C_moons_q3_depth2_reup1_chain,moons,C_entanglement,3,2,1,chain,RY,0.1,120,adam,0.38693689198622677,6.0476709629077365e-05,0.3876859794182388,0.0012417118135849955,0.8562499999999998,0.0,0.8916666666666666,0.014433756729740706,0.004726594719245508,0.0045511600411574675,394.40465505917865,0.6294642688304213
C_moons_q3_depth2_reup1_all,moons,C_entanglement,3,2,1,all,RY,0.1,120,adam,0.4113990438993412,7.870340331021185e-06,0.3995370943404692,0.0001748890110875603,0.8562499999999998,0.0,0.8249999999999998,0.0,0.0031824740923131977,0.0013989149480404073,415.2955474058787,1.8301249847187393
